,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
277,topeka,39.05,-95.68,42.8,56.0,90.0,16.11,US,1609120022.0
278,geraldton,-28.77,114.6,91.4,19.0,0.0,21.92,AU,1609120316.0
279,port blair,11.67,92.75,82.13,80.0,32.0,11.23,IN,1609120317.0
280,half moon bay,37.46,-122.43,54.0,81.0,75.0,4.7,US,1609120318.0
281,floro,61.6,5.03,42.8,70.0,95.0,13.87,NO,1609120319.0
282,purpe,64.48,76.69,-27.85,80.0,100.0,20.18,RU,1609120320.0
283,cidreira,-30.18,-50.21,74.08,82.0,72.0,20.22,BR,1609120319.0
284,moron,-34.65,-58.62,79.0,71.0,100.0,5.01,AR,1609120323.0
285,sangar,63.92,127.47,-41.33,78.0,100.0,5.32,RU,1609120324.0
286,doha,25.29,51.53,68.0,72.0,0.0,2.24,QA,1609120137.0
287,sembakung,3.82,117.25,86.76,68.0,59.0,2.01,ID,1609120031.0
288,gat,31.61,34.76,55.99,55.0,3.0,3.0,IL,1609120159.0
289,enshi,30.3,109.48,48.85,71.0,91.0,0.54,CN,1609120329.0
290,fort frances,48.6,-93.4,16.0,78.0,90.0,4.7,CA,1609120330.0
292,guerrero negro,27.98,-114.06,60.01,87.0,0.0,7.07,MX,1609120123.0
293,axim,4.87,-2.24,78.71,87.0,27.0,7.2,GH,1609120332.0
294,feijo,-8.16,-70.35,70.57,98.0,100.0,1.88,BR,1609120333.0
295,panama city,8.99,-79.52,77.0,88.0,100.0,5.82,PA,1609120151.0
296,mackay,-21.15,149.2,86.0,66.0,40.0,14.99,AU,1609120336.0
297,taman,45.21,36.72,39.2,80.0,32.0,20.13,RU,1609120337.0
298,kargasok,59.06,80.86,-22.94,85.0,100.0,14.23,RU,1609120338.0
299,san patricio,28.02,-97.52,68.0,82.0,1.0,11.41,US,1609120339.0
300,faya,18.39,42.45,50.0,82.0,0.0,1.99,SA,1609120340.0
302,dauphin,51.15,-100.05,-7.1,90.0,97.0,2.46,CA,1609120342.0
303,pancol,10.87,119.42,80.94,86.0,95.0,6.55,PH,1609120343.0
304,jieshou,33.26,115.36,51.44,71.0,0.0,6.62,CN,1609120344.0
305,orlik,52.52,99.83,-35.54,69.0,3.0,2.33,RU,1609120345.0
306,ambovombe,-25.17,46.08,74.48,87.0,0.0,5.46,MG,1609120346.0
307,ancud,-41.87,-73.82,61.0,82.0,40.0,5.82,CL,1609120348.0
308,mocuba,-16.84,36.99,72.95,96.0,58.0,1.21,MZ,1609120349.0
309,tadine,-21.55,167.88,81.18,68.0,60.0,13.58,NC,1609120350.0
310,mindelo,16.89,-24.98,71.6,78.0,75.0,12.75,CV,1609120351.0
311,den helder,52.96,4.76,37.0,93.0,91.0,6.93,NL,1609120352.0
312,chongqing,29.56,106.55,46.0,87.0,40.0,2.24,CN,1609120354.0
313,port hardy,50.7,-127.42,44.6,100.0,90.0,4.7,CA,1609120355.0
314,ewa beach,21.32,-158.01,82.4,58.0,75.0,6.93,US,1609120356.0
315,bossier city,32.52,-93.73,64.99,68.0,75.0,5.82,US,1609120357.0
316,jinka,5.65,36.65,61.99,44.0,81.0,3.11,ET,1609120358.0
317,kamyaran,34.8,46.94,30.2,68.0,75.0,4.7,IR,1609120329.0
318,boyabat,41.47,34.77,42.19,75.0,100.0,0.47,TR,1609120361.0
319,komsomolskiy,40.43,71.72,28.4,86.0,90.0,2.24,UZ,1609120362.0
320,kamensk-uralskiy,56.42,61.93,18.21,97.0,96.0,6.22,RU,1609120275.0
321,paita,-5.09,-81.11,67.6,85.0,90.0,10.25,PE,1609120364.0
322,boddam,57.47,-1.78,32.0,70.0,75.0,3.36,GB,1609120365.0
323,ahipara,-35.17,173.17,64.26,53.0,8.0,13.13,NZ,1609120367.0
324,lavrentiya,65.58,-171.0,9.21,91.0,100.0,21.99,RU,1609120368.0
325,vila,42.03,-8.16,44.01,90.0,98.0,11.01,PT,1609120369.0
326,osorno,-40.57,-73.15,66.2,82.0,22.0,2.24,CL,1609120248.0
327,borogontsy,62.67,131.17,-43.2,79.0,100.0,2.98,RU,1609120371.0
328,takoradi,4.88,-1.76,79.02,87.0,23.0,7.05,GH,1609120372.0
329,katobu,-4.94,122.53,80.78,83.0,100.0,0.69,ID,1609120374.0
330,pampas,-12.4,-74.9,47.21,83.0,100.0,3.0,PE,1609120375.0
331,srednekolymsk,67.45,153.68,-31.95,80.0,0.0,1.95,RU,1609120376.0
332,ungheni,47.2,27.8,37.4,100.0,90.0,16.11,MD,1609120377.0
333,tala,30.68,30.94,51.57,74.0,62.0,2.42,EG,1609120378.0
334,dukhovnitskoye,52.48,48.21,13.93,94.0,0.0,7.14,RU,1609120379.0
335,thinadhoo,0.53,72.93,82.49,71.0,46.0,7.67,MV,1609120381.0
336,hutchinson,38.06,-97.93,39.2,64.0,1.0,7.78,US,1609120372.0
337,hambantota,6.12,81.12,71.6,100.0,20.0,2.24,LK,1609120383.0
338,chudovo,59.12,31.68,22.55,97.0,97.0,10.38,RU,1609120384.0
339,ketchikan,55.34,-131.65,35.6,93.0,90.0,3.36,US,1609120385.0
